R1,R2,R3,R4
0.189753312,0.005072294,0.025798563,1.218040267
0.121162389,0.002931323,0.018488158,1.012090925
0.098919128,0.001487581,0.013708355,1.229499789
0.154838609,0.001029934,0.012904764,1.204363012
0.155479688,0.002610549,0.00964712,0.891480557
0.156882628,0.003368669,0.009990406,0.826159772
0.110842749,0.00283531,0.010777931,0.975164831
0.086860881,0.003273773,0.011829021,1.055434131
0.115349382,0.002651831,0.010657034,1.090582415
0.111986692,0.001845709,0.00897317,1.042995635
0.118211526,0.000937341,0.013016679,1.091004612
0.09085156,0.002066142,0.014119149,1.042414036
0.088777104,0.001183297,0.010680526,1.071886811
0.098816807,0.001025231,0.008590943,0.912260188
0.075583955,0.002630145,0.011343824,0.882994956
0.105517386,0.002744832,0.01109663,0.844014169
0.099150147,0.002734724,0.007258743,0.882547587
0.062984586,0.002809647,0.006290326,0.883043565
0.123758839,0.002802206,0.009820269,1.007048775
0.092570798,0.000825776,0.014235687,0.946908243
0.083794861,0.001565775,0.014741938,1.009757648
0.09282814,0.001742064,0.011298403,1.002305656
0.089818084,0.001824028,0.016053246,0.96156519
0.097690606,0.001783334,0.00944768,0.871833245
0.106582975,0.001363855,0.009152886,0.942447361
0.09742961,0.004206008,0.013896186,0.993541582
0.113317731,0.002696859,0.013141866,0.972428451
0.082005966,0.003441896,0.009514193,0.985660268
0.849007938,0.005656901,0.111586108,3.514849845
0.681587828,0.006598012,0.068761476,3.156990826
0.695882759,0.006783493,0.041705194,3.372986641
0.637043397,0.005967166,0.05181562,3.292211299
0.630854004,0.004891752,0.051839675,3.651376933
0.644567838,0.007784762,0.04076347,3.657736244
0.563345908,0.00975113,0.031574429,3.428425092
0.666965991,0.008872042,0.043849459,3.572400589
0.56894187,0.005888184,0.040913996,3.791085392
0.611420943,0.006279887,0.044127642,3.444716677
0.606160899,0.010195525,0.038493663,3.487357163
0.518400092,0.005719632,0.038830455,3.521084445
0.578034691,0.002981471,0.027722316,3.418940305
0.726439753,0.009797813,0.040107576,3.53039895
0.604280524,0.00380381,0.041727059,3.614322368
0.582830266,0.00639007,0.04227706,3.857672622
0.616679361,0.004081477,0.035209957,3.418236499
0.642780825,0.003684576,0.027403999,3.394743514
0.485244858,0.005503718,0.028210521,3.767517623
0.431707432,0.00352234,0.028726524,3.282370101
0.459947853,0.006125858,0.032337434,3.00776389
0.464211288,0.006096769,0.038339375,3.934673357
0.712978989,0.006496312,0.034478336,3.434860241
0.621133647,0.004860581,0.040066847,3.849952716
0.43278232,0.004393307,0.033268254,3.159834922
0.516723197,0.005925752,0.037684579,3.530194392
0.508861223,0.006351474,0.038469248,2.845243976
0.663205691,0.006412812,0.027271285,3.630847951
0.656247541,0.00557167,0.027057014,3.446086393
0.467523974,0.003682266,0.020952255,3.183995951
0.406702624,0.007568734,0.02360304,3.492398881
0.628741534,0.008241149,0.02645844,3.585706648
0.469222459,0.005421698,0.0270874,3.20998812
0.459947829,0.007178449,0.025274512,3.670254854
0.446179842,0.006407205,0.017329571,3.487952677
0.430218978,0.007436449,0.026902075,3.423760425
0.390308726,0.00424592,0.027900714,3.244682273
0.545572021,0.005225164,0.031767011,3.295586885
0.442274033,0.008816424,0.030993556,3.003519871
0.417082552,0.006250083,0.024086298,3.619607404
1.978535442,0.03048446,0.223377658,7.249364556
1.658040728,0.027818862,0.142395765,6.967733541
1.959866088,0.01773384,0.140441129,7.297211914
1.502378635,0.017644803,0.134493344,7.456351563
1.670945215,0.019005516,0.130466163,8.45806759
1.623064805,0.020216941,0.106510086,6.677828141
1.634203798,0.020290313,0.112655248,7.345997232
1.536687541,0.021917292,0.112631194,8.474834857
1.758709519,0.010338948,0.102857534,7.807592535
1.602529929,0.013069252,0.115817424,8.735209218
1.864022252,0.014139456,0.12023575,8.574293351
1.662353993,0.014647598,0.13341241,8.621472078
1.587214354,0.013879446,0.108769899,8.276902783
1.66557518,0.016407898,0.110666966,9.101089337
1.47714173,0.016364605,0.104721162,7.908501345
1.485949307,0.010662625,0.096990863,8.55887038
1.827044369,0.015727268,0.121359707,9.569303178
1.812498224,0.017585665,0.09950088,9.426500549
1.555765673,0.02204233,0.11990183,8.412676321
1.484915609,0.014937645,0.096347647,8.936213446
1.532563191,0.019018422,0.104969014,7.146270695
1.352966016,0.013280214,0.093366206,9.073749563
1.595279247,0.012769923,0.117776072,8.32705579
1.487444331,0.015040435,0.110477774,8.442221754
1.417650073,0.021006876,0.133192363,8.190916032
1.341188538,0.013214403,0.142483748,8.333476502
1.499103288,0.01299998,0.109204703,8.344183435
1.20455543,0.016208555,0.103882478,8.716136234
1.420188291,0.013838222,0.11925316,7.518252303
1.542224732,0.019802528,0.144875834,9.151710533
1.357385734,0.015328646,0.128103874,8.55451258
1.34499539,0.01763887,0.103951657,8.075277505
1.481830037,0.010836656,0.091125074,7.749297067
1.433791756,0.008454186,0.129768152,8.991089977
1.349985783,0.011499351,0.136996465,8.202562065
1.438100839,0.013389753,0.134356888,8.351280711
1.50596766,0.017392168,0.137774729,8.267668861
1.466170947,0.014392595,0.131610886,8.818420168
1.353840737,0.017739348,0.139150721,8.032736443
1.223959802,0.019119645,0.138689325,9.183672771
4.134342437,0.054887824,0.691188134,21.81503587
2.650935147,0.033421163,0.269110097,17.31638577
3.261081423,0.029354398,0.31121394,24.0795098
3.460252111,0.035025459,0.322718568,25.37463095
3.695657598,0.025512661,0.270660337,23.05428975
4.031927734,0.029856789,0.268566488,23.29992804
3.51583611,0.02191331,0.258632638,23.88627529
3.572893619,0.024207947,0.195736068,20.6275758
3.160369944,0.027064801,0.315543282,25.55998984
3.898540269,0.025552634,0.284450949,25.72170521
3.283305424,0.027014938,0.298869284,23.59372374
2.888982713,0.025273519,0.272487252,21.70605974
3.34892276,0.033128253,0.335081522,26.40384198
3.447163716,0.032519086,0.317912647,26.01690065
3.430303164,0.032565092,0.323817381,26.99854619
3.20049198,0.016339843,0.309297667,24.90603571
3.177860216,0.032839379,0.289363163,24.11410603
3.93265539,0.030178259,0.342205214,26.33935369
3.353755257,0.027844433,0.353315939,26.11547632
3.280095313,0.025476731,0.301327934,26.47128081
2.89812561,0.018075182,0.312389373,23.98570751
3.044610009,0.033011638,0.347925236,28.88509526
3.277461632,0.019903719,0.309062017,25.8664877
2.682626229,0.017302925,0.311806411,24.94398813
2.696623714,0.017282219,0.282401761,24.69548039
2.957697833,0.027994945,0.302441309,26.36058911
2.704338215,0.027265119,0.288465731,21.94827821
2.948375262,0.024293654,0.288660873,24.35671122
2.563254645,0.019722645,0.25442207,20.80777518
3.452778976,0.028249914,0.30876016,25.79452314
3.030494128,0.019123878,0.295139132,26.3446825
3.612967735,0.012243201,0.294993978,27.21951747
3.469657718,0.022290826,0.274679322,27.18066876
2.999835503,0.023403231,0.268961911,26.43985251
3.311107737,0.019849927,0.274005215,23.66006337
3.022581841,0.014002509,0.223771877,21.26562895
2.974882616,0.019183214,0.250066824,24.73466897
2.957650285,0.020747699,0.262057892,24.50271613
2.611839542,0.022490811,0.242872718,22.85057903
2.823300259,0.018248146,0.260583478,26.41538416
5.316252931,0.054443183,0.866893712,34.57039099
